id	persName	QID	dbl_id
dbl_003_person_0	Tamonie Brown	Q115041559	
dbl_003_person_1	Eileen Cave	Q114647741	
dbl_003_person_2	Eileen Cave	Q114647741	
dbl_003_person_3	Judith B. Redding	Q114648250	
dbl_003_person_4	Karen M. Turner	Q115024973	
dbl_003_person_5	Garvey Clarke	Q115044912	
dbl_003_person_6	Gene Booth	Q100755818	
dbl_003_person_7	Dick Fairley	Q106852291	
dbl_003_person_8	Fritz Alexander	Q115045539	
dbl_003_person_9	Joan Nelson	Q115045608	
dbl_003_person_10	Joan Nelson	Q115045608	
dbl_003_person_11	Errol Hill	Q5395585	
dbl_003_person_12	Nels Armstrong	Q115119072	
dbl_003_person_13	Errol Hill	Q5395585	
dbl_003_person_14	Dega Hill		dbl_0001
dbl_003_person_15	Errol Hill	Q5395585	
dbl_003_person_16	Ben Bridges	Q115119131	
dbl_003_person_17	Judith B. Redding	Q114648250	
dbl_003_person_18	Monica Hargrove	Q114647971	
dbl_003_person_19	Judith B. Redding	Q114648250	
dbl_003_person_20	Judith B. Redding	Q114648250	
dbl_003_person_21	Monica Hargrove	Q114647971	
dbl_003_person_22	Judith B. Redding	Q114648250	
dbl_003_person_23	Karen M. Turner	Q115024973	
dbl_003_person_24	Judith B. Redding	Q114648250	
dbl_003_person_25	Judith B. Redding	Q114648250	
dbl_003_person_26	Karen M. Turner	Q115024973	
dbl_003_person_27	Karen M. Turner	Q115024973	
dbl_003_person_28	Judith B. Redding	Q114648250	
dbl_003_person_29	Judith B. Redding	Q114648250	
dbl_003_person_30	Patti LaBelle	Q31013	
dbl_003_person_31	Richard Joseph	Q115119183	
dbl_003_person_32	Malcolm X	Q43303	
dbl_003_person_33	George Floyd	Q95677819	
dbl_003_person_34	Monica Hargrove	Q114647971	
dbl_003_person_35	Judith B. Redding	Q114648250	
dbl_003_person_36	Karen M. Turner	Q115024973	
dbl_003_person_37	Monica Hargrove	Q114647971	
dbl_003_person_38	Judith B. Redding	Q114648250	
dbl_003_person_39	Judith B. Redding	Q114648250	
dbl_003_person_40	Judith B. Redding	Q114648250	
dbl_003_person_41	Karen M. Turner	Q115024973	
dbl_003_person_42	Jordan		dbl_0051
dbl_003_person_43	Romare		dbl_0052
dbl_003_person_44	Romare		dbl_0052
dbl_003_person_45	Romare Bearden	Q1291679	
