id	placeName
dbl_003_place_0	Hanover, New Hampshire
dbl_003_place_1	Hyattsville, Maryland
dbl_003_place_2	Hyattsville, Maryland
dbl_003_place_3	Brooklyn, New York
dbl_003_place_4	Brooklyn
dbl_003_place_5	Brooklyn
dbl_003_place_6	Bedford-Stuyvesant
dbl_003_place_7	Crown Heights
dbl_003_place_8	Eastern Parkway
dbl_003_place_9	Atlantic Avenue
dbl_003_place_10	Long Island
dbl_003_place_11	Brooklyn
dbl_003_place_12	Brooklyn
dbl_003_place_13	New York
dbl_003_place_14	New York
dbl_003_place_15	Hanover
dbl_003_place_16	Hanover
dbl_003_place_17	New Hampshire
dbl_003_place_18	Choates
dbl_003_place_19	Hopkins Center
dbl_003_place_20	New York
dbl_003_place_21	New York
dbl_003_place_22	Brooklyn
dbl_003_place_23	New York
dbl_003_place_24	BADA
dbl_003_place_25	South Africa
dbl_003_place_26	South Africa
dbl_003_place_27	Caribbean
dbl_003_place_28	Chicago
dbl_003_place_29	Barbados
dbl_003_place_30	Barbados
dbl_003_place_31	Boston
dbl_003_place_32	Boston
dbl_003_place_33	Boston
dbl_003_place_34	New York
dbl_003_place_35	Hanover
dbl_003_place_36	Hanover
dbl_003_place_37	Baker library
dbl_003_place_38	Maryland
dbl_003_place_39	America
dbl_003_place_40	Hanover
dbl_003_place_41	Chicago
dbl_003_place_42	Chicago
dbl_003_place_43	Cook County Jail
dbl_003_place_44	Chicago
dbl_003_place_45	Bahamas
dbl_003_place_46	Chicago
dbl_003_place_47	Africa
dbl_003_place_48	Europe
dbl_003_place_49	Asia
dbl_003_place_50	South America
dbl_003_place_51	Africa
dbl_003_place_52	Chicago
dbl_003_place_53	Hyattsville
dbl_003_place_54	Prince George’s
dbl_003_place_55	Trinidad and Tobago
dbl_003_place_56	Bahamas
dbl_003_place_57	Barbados
dbl_003_place_58	California
