id	placeName
dbl_004_place_0	Berry Library
dbl_004_place_1	Hanover, New Hampshire
dbl_004_place_2	Newport News, Virginia
dbl_004_place_3	Newport News, Virginia
dbl_004_place_4	Newport News
dbl_004_place_5	Newport News
dbl_004_place_6	Hampton, Virginia
dbl_004_place_7	Hampton Institute
dbl_004_place_8	Hampton University
dbl_004_place_9	Booker T. Elementary school
dbl_004_place_10	Newport News shipyard
dbl_004_place_11	Newport News shipyard
dbl_004_place_12	James River
dbl_004_place_13	Chesapeake Bay
dbl_004_place_14	shipyard
dbl_004_place_15	Yale
dbl_004_place_16	Brandeis
dbl_004_place_17	New Hampshire
dbl_004_place_18	New Hampshire
dbl_004_place_19	Dartmouth
dbl_004_place_20	Dartmouth
dbl_004_place_21	Dartmouth
dbl_004_place_22	Dartmouth
dbl_004_place_23	Hanover
dbl_004_place_24	North Topliff Hall
dbl_004_place_25	North Topliff
dbl_004_place_26	Hampton University
dbl_004_place_27	Virginia State College
dbl_004_place_28	Dartmouth
dbl_004_place_29	Dartmouth
dbl_004_place_30	Chicago
dbl_004_place_31	The Green
dbl_004_place_32	Dartmouth
dbl_004_place_33	Dartmouth
dbl_004_place_34	Newport News, Virginia
dbl_004_place_35	Newport News
dbl_004_place_36	Dartmouth
dbl_004_place_37	Dartmouth
dbl_004_place_38	Newport News, Virginia
dbl_004_place_39	North Topliff
dbl_004_place_40	Newport News
dbl_004_place_41	Dartmouth
dbl_004_place_42	Hanover
dbl_004_place_43	Hanover
dbl_004_place_44	College
dbl_004_place_45	Hanover
dbl_004_place_46	Hanover
dbl_004_place_47	College
dbl_004_place_48	Shabazz Hall
dbl_004_place_49	Nathan Lord House
dbl_004_place_50	203 North Topliff Hall
dbl_004_place_51	Rauner [Special Collections] Library
dbl_004_place_52	Dartmouth
dbl_004_place_53	Dartmouth
dbl_004_place_54	Dartmouth
dbl_004_place_55	Dartmouth
dbl_004_place_56	Atlanta
dbl_004_place_57	Dartmouth
dbl_004_place_58	Dartmouth
dbl_004_place_59	Dartmouth
dbl_004_place_60	Chicago
dbl_004_place_61	Cleveland
dbl_004_place_62	California
dbl_004_place_63	Texas
dbl_004_place_64	The Green
dbl_004_place_65	The Green
dbl_004_place_66	The Green
dbl_004_place_67	Boston
dbl_004_place_68	New York
dbl_004_place_69	New York
dbl_004_place_70	Chicago
dbl_004_place_71	Nathan Lord House
dbl_004_place_72	United States
dbl_004_place_73	United States
dbl_004_place_74	Norfolk, Virginia
dbl_004_place_75	Dartmouth
dbl_004_place_76	Spaulding Auditorium
dbl_004_place_77	New England
dbl_004_place_78	Dartmouth
dbl_004_place_79	Dartmouth
dbl_004_place_80	Rauner [Special Collections] Library
dbl_004_place_81	Dartmouth
dbl_004_place_82	Dartmouth
dbl_004_place_83	Dartmouth
dbl_004_place_84	Dartmouth
dbl_004_place_85	Newport News
dbl_004_place_86	Dartmouth
dbl_004_place_87	Dartmouth
dbl_004_place_88	Dartmouth
dbl_004_place_89	Dartmouth
dbl_004_place_90	Thayer Hall
dbl_004_place_91	Thayer Hall
dbl_004_place_92	Dartmouth
dbl_004_place_93	New York
dbl_004_place_94	Hanover
dbl_004_place_95	Mass[achusetts] Row
dbl_004_place_96	Chicago
dbl_004_place_97	Chicago
dbl_004_place_98	Chicago
dbl_004_place_99	Dartmouth
dbl_004_place_100	Dartmouth
dbl_004_place_101	Dartmouth
dbl_004_place_102	Dartmouth
dbl_004_place_103	Cleveland, Ohio
dbl_004_place_104	Washington D.C.
dbl_004_place_105	Wales
dbl_004_place_106	Hanover
dbl_004_place_107	Hanover Inn
dbl_004_place_108	Dartmouth
dbl_004_place_109	Dartmouth
dbl_004_place_110	Dartmouth
dbl_004_place_111	Boston
dbl_004_place_112	Dartmouth
dbl_004_place_113	New York City
dbl_004_place_114	Dartmouth
dbl_004_place_115	Dartmouth
dbl_004_place_116	William & Mary [University]
dbl_004_place_117	MIT
dbl_004_place_118	MIT
dbl_004_place_119	MIT
dbl_004_place_120	Dartmouth
dbl_004_place_121	Case Western Reserve
dbl_004_place_122	Dartmouth
dbl_004_place_123	Hanover
dbl_004_place_124	Virginia
dbl_004_place_125	Hanover
dbl_004_place_126	Dartmouth
dbl_004_place_127	San Juan, Puerto Rico
dbl_004_place_128	America
dbl_004_place_129	Dartmouth
dbl_004_place_130	United States
dbl_004_place_131	Norway
dbl_004_place_132	Dartmouth
dbl_004_place_133	St. Andrew
dbl_004_place_134	England
dbl_004_place_135	Wales
dbl_004_place_136	United States
dbl_004_place_137	Dartmouth
dbl_004_place_138	St. Andrews
dbl_004_place_139	Hanover, New Hampshire
dbl_004_place_140	North Carolina
dbl_004_place_141	Wilson County
dbl_004_place_142	Hanover
dbl_004_place_143	Dartmouth
dbl_004_place_144	Dartmouth
