id	persName	QID	dbl_id
dbl_006_person_0	Jamal Cooney	Q115042109	
dbl_006_person_1	Thomas J. Price	Q114648101	
dbl_006_person_2	Thomas J. Price	Q114648101	
dbl_006_person_3	Thomas J. Price	Q114648101	
dbl_006_person_4	Woody Hayes	Q8033668	
dbl_006_person_5	Joe Paterno	Q546591	
dbl_006_person_6	Joe Paterno	Q546591	
dbl_006_person_7	Gale Sayers	Q503760	
dbl_006_person_8	Gale Sayers	Q503760	
dbl_006_person_9	John Curtis		dbl_0010
dbl_006_person_10	Henry Paulson	Q311025	
dbl_006_person_11	Joe Paterno	Q546591	
dbl_006_person_12	Hal Greer	Q549899	
dbl_006_person_13	Hal Greer	Q549899	
dbl_006_person_14	Thomas J. Price	Q114648101	
dbl_006_person_15	Thomas J. Price	Q114648101	
dbl_006_person_16	Wilt Chamberlain	Q182455	
dbl_006_person_17	Hal Greer	Q549899	
dbl_006_person_18	Wilt Chamberlain	Q182455	
dbl_006_person_19	Dr. Hayden		
dbl_006_person_20	Ray		
dbl_006_person_21	Wilt Chamberlain	Q182455	
dbl_006_person_22	Al Greer	Q108052362	
dbl_006_person_23	Wilt Chamberlain	Q182455	
dbl_006_person_24	Dr Haley		
dbl_006_person_25	William Whitney Ballard	Q115201714	
dbl_006_person_26	William Whitney Ballard	Q115201714	
dbl_006_person_27	William Whitney Ballard	Q115201714	
dbl_006_person_28	William Whitney Ballard	Q115201714	
dbl_006_person_29	Thomas J. Price	Q114648101	
dbl_006_person_30	William Shockley	Q163415	
dbl_006_person_31	William Shockley	Q163415	
dbl_006_person_32	Martin Luther King Jr.	Q8027	
dbl_006_person_33	Malcolm X	Q43303	
dbl_006_person_34	Malcolm X	Q43303	
dbl_006_person_35	Martin Luther King Jr.	Q8027	
dbl_006_person_36	Woody Lee	Q8033682	
dbl_006_person_37	Forrester Lee	Q115223064	
dbl_006_person_38	Forrester Lee	Q115223064	
dbl_006_person_39	Forrester Lee	Q115223064	
dbl_006_person_40	Forrester Lee	Q115223064	
dbl_006_person_41	Willie Bogan	Q114647610	
dbl_006_person_42	Willie Bogan	Q114647610	
dbl_006_person_43	Bob Blackman	Q4931848	
dbl_006_person_44	Calvin Hill	Q1027683	
dbl_006_person_45	Grant Hill	Q311895	
dbl_006_person_46	Calvin Hill	Q1027683	
dbl_006_person_47	Stu		
dbl_006_person_48	Stu		
dbl_006_person_49	Calvin Hill	Q1027683	
dbl_006_person_50	Kurt Schmoke	Q16137482	
dbl_006_person_51	Thomas J. Price	Q114648101	
dbl_006_person_52	Errol Hill	Q5395585	
dbl_006_person_53	Thomas J. Price	Q114648101	
dbl_006_person_54	Errol Hill	Q5395585	
dbl_006_person_55	Thomas J. Price	Q114648101	
dbl_006_person_56	Bob Blackman	Q4931848	
dbl_006_person_57	Willie Bogan	Q114647610	
dbl_006_person_58	Willie Bogan	Q114647610	
dbl_006_person_59	Stu Sims		
dbl_006_person_60	Benjamin Wilson	Q113509404	
dbl_006_person_61	Russell Wilson	Q1149781	
dbl_006_person_62	Dan Radakovich	Q5214242	
dbl_006_person_63	Dan Radakovich	Q5214242	
dbl_006_person_64	Thomas J. Price	Q114648101	
dbl_006_person_65	Stu		
dbl_006_person_66	Class of 1953 Commons	Q98636574	
dbl_006_person_67	John George Kemeny	Q28900	
dbl_006_person_68	William Westmoreland	Q298793	
dbl_006_person_69	General Waste More Land		
dbl_006_person_70	Thomas J. Price	Q114648101	
