id	placeName
dbl_006_place_0	Dartmouth College
dbl_006_place_1	Hanover
dbl_006_place_2	New Rochelle
dbl_006_place_3	Clifton Forge
dbl_006_place_4	South Point
dbl_006_place_5	Burlington
dbl_006_place_6	New York City
dbl_006_place_7	Boston
dbl_006_place_8	Hanover
dbl_006_place_9	Boston
dbl_006_place_10	Ohio
dbl_006_place_11	Brooklyn
dbl_006_place_12	Ohio
dbl_006_place_13	Baker-Berry Library
dbl_006_place_14	Cincinnati
dbl_006_place_15	Class of 1953 Commons
dbl_006_place_16	Boston
dbl_006_place_17	United States of America
dbl_006_place_18	Gilman Hall
dbl_006_place_19	Baltimore
dbl_006_place_20	Baltimore
dbl_006_place_21	Baltimore
dbl_006_place_22	Calvin Hill
dbl_006_place_23	Baltimore
dbl_006_place_24	Baltimore
dbl_006_place_25	New Hampshire
dbl_006_place_26	New Hampshire
dbl_006_place_27	New Hampshire
dbl_006_place_28	New Hampshire
dbl_006_place_29	Penn State Milton S. Hershey Medical Center
dbl_006_place_30	Harvard Stadium
dbl_006_place_31	Hanover
dbl_006_place_32	Ohio
dbl_006_place_33	Chicago
dbl_006_place_34	France
dbl_006_place_35	Boston
dbl_006_place_36	Vermont
dbl_006_place_37	Massachusetts
dbl_006_place_38	Hanover
dbl_006_place_39	Boston
dbl_006_place_40	Boston
dbl_006_place_41	Class of 1953 Commons
dbl_006_place_42	Class of 1953 Commons
dbl_006_place_43	Class of 1953 Commons
dbl_006_place_44	Class of 1953 Commons
dbl_006_place_45	Class of 1953 Commons
dbl_006_place_46	Class of 1953 Commons
dbl_006_place_47	Dartmouth College
dbl_006_place_48	Hanover
dbl_006_place_49	Hanover
dbl_006_place_50	Hanover
