id	placeName
dbl_007_place_0	Epsilon Kappa Theta
dbl_007_place_1	Hanover, New Hampshire
dbl_007_place_2	Philadelphia, Pennsylvania
dbl_007_place_3	Baltimore, Maryland
dbl_007_place_4	Cherry Hill
dbl_007_place_5	Cherry Hill
dbl_007_place_6	Cherry Hill
dbl_007_place_7	Baltimore
dbl_007_place_8	Cherry Hill
dbl_007_place_9	downtown Baltimore
dbl_007_place_10	Baltimore
dbl_007_place_11	Cherry Hill
dbl_007_place_12	Cherry Hill
dbl_007_place_13	Patapsco River
dbl_007_place_14	Maryland
dbl_007_place_15	Baltimore
dbl_007_place_16	Baltimore
dbl_007_place_17	Cherry Hill
dbl_007_place_18	Baltimore
dbl_007_place_19	Cherry Hill
dbl_007_place_20	Maryland
dbl_007_place_21	Baltimore
dbl_007_place_22	Cherry Hill
dbl_007_place_23	Cherry Hill
dbl_007_place_24	North Carolina
dbl_007_place_25	Rocky Mountain [NC]
dbl_007_place_26	Rocky Mountain, North Carolina
dbl_007_place_27	Florida
dbl_007_place_28	Hampstead [NH]
dbl_007_place_29	Dartmouth
dbl_007_place_30	Indianapolis
dbl_007_place_31	Cherry Hill
dbl_007_place_32	Cherry Hill
dbl_007_place_33	Forest Park
dbl_007_place_34	Baltimore
dbl_007_place_35	Cherry Hill
dbl_007_place_36	Cherry Hill
dbl_007_place_37	Philadelphia
dbl_007_place_38	Baltimore
dbl_007_place_39	America
dbl_007_place_40	America
dbl_007_place_41	America
dbl_007_place_42	Cornell
dbl_007_place_43	Virginia
dbl_007_place_44	New Hampshire
dbl_007_place_45	Andover [Proctor Academy]
dbl_007_place_46	Hanover
dbl_007_place_47	Hanover
dbl_007_place_48	Cutter Hall
dbl_007_place_49	El-Hajj Malik El-Shabazz Temple
dbl_007_place_50	Bourges, France
dbl_007_place_51	France
dbl_007_place_52	France
dbl_007_place_53	France
dbl_007_place_54	Sierra Leone
dbl_007_place_55	Freetown
dbl_007_place_56	Philadelphia
dbl_007_place_57	New York
dbl_007_place_58	Sierra Leone
dbl_007_place_59	England
dbl_007_place_60	Spain
dbl_007_place_61	Nigeria
dbl_007_place_62	Ghana
dbl_007_place_63	Hall— the Path of No Return [Door of No Return]
dbl_007_place_64	America
dbl_007_place_65	England
dbl_007_place_66	Piccadilly Circus
dbl_007_place_67	Piccadilly
dbl_007_place_68	Baltimore
dbl_007_place_69	Africa
dbl_007_place_70	Compton, California
dbl_007_place_71	Compton
dbl_007_place_72	Compton
dbl_007_place_73	Compton
dbl_007_place_74	Compton
dbl_007_place_75	Sierra Leone
dbl_007_place_76	Memorial Field
dbl_007_place_77	Cincinnati [Bengals]
dbl_007_place_78	Cutter Hall
dbl_007_place_79	Cutter
dbl_007_place_80	Manhattan
dbl_007_place_81	Baltimore
dbl_007_place_82	Philadelphia
dbl_007_place_83	El Salvador
dbl_007_place_84	Italy
dbl_007_place_85	El Salvador
dbl_007_place_86	Egypt
dbl_007_place_87	Sudan
dbl_007_place_88	Sudan
dbl_007_place_89	America
dbl_007_place_90	Connecticut
dbl_007_place_91	Hopkins Center
dbl_007_place_92	Cutter Hall
dbl_007_place_93	Cutter
dbl_007_place_94	Three South Street
dbl_007_place_95	Philadelphia
dbl_007_place_96	Philadelphia
dbl_007_place_97	DC
dbl_007_place_98	Baltimore
dbl_007_place_99	America
dbl_007_place_100	America
dbl_007_place_101	Cherry Hill
dbl_007_place_102	Rauner [Special Collections Library]
