id	orgName
dbl_008_org_0	class of '76
dbl_008_org_1	the Dartmouth Black Lives
dbl_008_org_2	Quaker
dbl_008_org_3	Dartmouth
dbl_008_org_4	Ivy league
dbl_008_org_5	Brown [University]
dbl_008_org_6	Brown
dbl_008_org_7	Swarthmore
dbl_008_org_8	Brown
dbl_008_org_9	Brown
dbl_008_org_10	Cheney [University of Pennsylvania]
dbl_008_org_11	Howard [University]
dbl_008_org_12	Ivy league
dbl_008_org_13	U.S. Supreme Court
dbl_008_org_14	Dartmouth
dbl_008_org_15	Dartmouth
dbl_008_org_16	Dartmouth
dbl_008_org_17	Fulbright Scholars
dbl_008_org_18	Phi Beta Kappa [Society] at Hunter College
dbl_008_org_19	Dartmouth
dbl_008_org_20	Dartmouth
dbl_008_org_21	Dartmouth
dbl_008_org_22	Cornell
dbl_008_org_23	Cornell
dbl_008_org_24	Cornell
dbl_008_org_25	Black Student Union
dbl_008_org_26	Dartmouth
dbl_008_org_27	Dartmouth
dbl_008_org_28	Dartmouth
dbl_008_org_29	[Afro-American Society]
dbl_008_org_30	Afro-Am
dbl_008_org_31	[El Hajj Malik] El Shabazz [Center for Intellectual Inquiry]
dbl_008_org_32	Temple
dbl_008_org_33	Dartmouth
dbl_008_org_34	Kool & the Gang
dbl_008_org_35	Dartmouth
dbl_008_org_36	Dartmouth
dbl_008_org_37	Dartmouth
dbl_008_org_38	Afro-Am society
dbl_008_org_39	Afro-American society
dbl_008_org_40	Black Caucus
dbl_008_org_41	Black Caucus
dbl_008_org_42	Afro-Am
dbl_008_org_43	Dartmouth
dbl_008_org_44	Dartmouth
dbl_008_org_45	Dartmouth
dbl_008_org_46	Dartmouth
dbl_008_org_47	Dartmouth
dbl_008_org_48	Dartmouth
dbl_008_org_49	Ivies
dbl_008_org_50	Dartmouth
dbl_008_org_51	the Dartmouth
dbl_008_org_52	Dartmouth
dbl_008_org_53	Dartmouth
dbl_008_org_54	Dartmouth
dbl_008_org_55	Dartmouth
dbl_008_org_56	Dartmouth
dbl_008_org_57	Dartmouth
dbl_008_org_58	Dartmouth
dbl_008_org_59	Dartmouth
dbl_008_org_60	Dartmouth
dbl_008_org_61	Dartmouth
dbl_008_org_62	Dartmouth
dbl_008_org_63	Dartmouth
dbl_008_org_64	Dartmouth
dbl_008_org_65	New Hampshire legislature
dbl_008_org_66	Dartmouth
dbl_008_org_67	the Washington Post
dbl_008_org_68	Dartmouth
dbl_008_org_69	Dartmouth
dbl_008_org_70	Ivy league
dbl_008_org_71	Dartmouth
dbl_008_org_72	Dartmouth
dbl_008_org_73	Dartmouth
dbl_008_org_74	Dartmouth
dbl_008_org_75	Dartmouth
dbl_008_org_76	Dartmouth
dbl_008_org_77	Brown [University]
dbl_008_org_78	Brown
dbl_008_org_79	Harvard Law School
dbl_008_org_80	Brown
dbl_008_org_81	Ivy league 
dbl_008_org_82	Dartmouth
dbl_008_org_83	Dartmouth
dbl_008_org_84	Dartmouth
dbl_008_org_85	Dartmouth
dbl_008_org_86	Dartmouth
dbl_008_org_87	Dartmouth
dbl_008_org_88	Sly & the Family Stone
dbl_008_org_89	[Afro-]Am
dbl_008_org_90	Dartmouth
dbl_008_org_91	Dartmouth
dbl_008_org_92	Dartmouth
dbl_008_org_93	Dartmouth
dbl_008_org_94	Dartmouth
dbl_008_org_95	Today's Seed Tomorrow's Hope
dbl_008_org_96	Dartmouth
dbl_008_org_97	ROTC
dbl_008_org_98	Dartmouth
dbl_008_org_99	Class, [of '76]
dbl_008_org_100	Committee on Student Life
dbl_008_org_101	Committee on Student Life
dbl_008_org_102	Dartmouth
dbl_008_org_103	Dartmouth
dbl_008_org_104	Dartmouth
dbl_008_org_105	Dartmouth
dbl_008_org_106	Dartmouth
dbl_008_org_107	Dartmouth
dbl_008_org_108	Dartmouth
dbl_008_org_109	Dartmouth
dbl_008_org_110	Dartmouth
dbl_008_org_111	Dartmouth
dbl_008_org_112	Dartmouth
dbl_008_org_113	Dartmouth
dbl_008_org_114	Dartmouth
dbl_008_org_115	Dartmouth
dbl_008_org_116	Dartmouth
dbl_008_org_117	Dartmouth
dbl_008_org_118	CBAD [Concerned Black Alumni of Dartmouth]
dbl_008_org_119	Dartmouth
dbl_008_org_120	Dartmouth
dbl_008_org_121	Dartmouth
dbl_008_org_122	Dartmouth
dbl_008_org_123	Dartmouth
dbl_008_org_124	Dartmouth
dbl_008_org_125	Dartmouth
dbl_008_org_126	Dartmouth
dbl_008_org_127	Dartmouth
dbl_008_org_128	Dartmouth
dbl_008_org_129	Dartmouth
