id	persName	QID	dbl_id
dbl_008_person_0	Hosaena Tilahun	Q115027024	
dbl_008_person_1	Judith B. Redding	Q114648250	
dbl_008_person_2	Judith B. Redding	Q114648250	
dbl_008_person_3	Judith B. Redding	Q114648250	
dbl_008_person_4	Judy	Q40747396	
dbl_008_person_5	Judith B. Redding	Q114648250	
dbl_008_person_6	Louis L. Redding	Q16014164	
dbl_008_person_7	Ruth Cook Redding		
dbl_008_person_8	Louis L. Redding	Q16014164	
dbl_008_person_9	Louis L. Redding	Q16014164	
dbl_008_person_10	Kwame Nkrumah	Q8620	
dbl_008_person_11	Louis L. Redding	Q16014164	
dbl_008_person_12	Mrs. Redding		
dbl_008_person_13	Monica Hargrove	Q114647971	
dbl_008_person_14	Eileen Cave	Q114647741	
dbl_008_person_15	Monica Hargrove	Q114647971	
dbl_008_person_16	Eileen Cave	Q114647741	
dbl_008_person_17	Karen M. Turner	Q115024973	
dbl_008_person_18	Karen M. Turner	Q115024973	
dbl_008_person_19	Eileen Cave	Q114647741	
dbl_008_person_20	Monica Hargrove	Q114647971	
dbl_008_person_21	Eileen Cave	Q114647741	
dbl_008_person_22	Joan Smith	Q115026162	
dbl_008_person_23	Joan Smith	Q115026162	
dbl_008_person_24	Judy	Q40747396	
dbl_008_person_25	Joan Smith	Q115026162	
dbl_008_person_28	Joan Smith	Q115026162	
dbl_008_person_29	Joan Smith	Q115026162	
dbl_008_person_30	Tawana Brawley	Q65658806	
dbl_008_person_31	Monica Hargrove	Q114647971	
dbl_008_person_32	Monica Hargrove	Q114647971	
dbl_008_person_33	Monica Hargrove	Q114647971	
dbl_008_person_34	Judith B. Redding	Q114648250	
dbl_008_person_35	Monica Hargrove	Q114647971	
dbl_008_person_36	Eileen Cave	Q114647741	
dbl_008_person_37	Eileen Cave	Q114647741	
dbl_008_person_38	Eileen Cave	Q114647741	
dbl_008_person_39	Eileen Cave	Q114647741	
dbl_008_person_40	Karen M. Turner	Q115024973	
dbl_008_person_41	Karen M. Turner	Q115024973	
dbl_008_person_42	Karen M. Turner	Q115024973	
dbl_008_person_43	Eileen Cave	Q114647741	
dbl_008_person_45	Monica Hargrove	Q114647971	
dbl_008_person_47	Holmes		
dbl_008_person_48	Holmes		
dbl_008_person_49	Judith B. Redding	Q114648250	
