id	orgName
dbl_009_org_0	the Dartmouth Black Lives Oral History Project
dbl_009_org_1	Claflin Elementary School
dbl_009_org_2	Claflin
dbl_009_org_3	Ku Klux Klan
dbl_009_org_4	Claflin School
dbl_009_org_5	Claflin
dbl_009_org_6	Claflin College
dbl_009_org_7	Claflin University
dbl_009_org_8	Dartmouth
dbl_009_org_9	Tasty Sandwich Shop
dbl_009_org_10	nation of Islam
dbl_009_org_11	Dartmouth
dbl_009_org_12	Key Club
dbl_009_org_13	Dartmouth
dbl_009_org_14	Dartmouth
dbl_009_org_15	National Achievement Scholarship
dbl_009_org_16	The National Achievement Scholarship
dbl_009_org_17	the National Merit Foundation
dbl_009_org_18	Mcallister College
dbl_009_org_19	Dartmouth
dbl_009_org_20	Dartmouth
dbl_009_org_21	Dartmouth
dbl_009_org_22	Dartmouth
dbl_009_org_23	Dartmouth
dbl_009_org_24	National Achievement Scholarship
dbl_009_org_25	Dartmouth
dbl_009_org_26	Dartmouth
dbl_009_org_27	Dartmouth
dbl_009_org_28	Dartmouth
dbl_009_org_29	Dartmouth
dbl_009_org_30	Dartmouth
dbl_009_org_31	Dartmouth
dbl_009_org_32	Dartmouth
dbl_009_org_33	Dartmouth
dbl_009_org_34	Dartmouth
dbl_009_org_35	Dartmouth College
dbl_009_org_36	Dartmouth
dbl_009_org_37	Dartmouth
dbl_009_org_38	Dartmouth
dbl_009_org_39	Dartmouth
dbl_009_org_40	Dartmouth
dbl_009_org_41	Dartmouth
dbl_009_org_42	Dartmouth
dbl_009_org_43	Dartmouth
dbl_009_org_44	Dartmouth
dbl_009_org_45	Harvard [University]
dbl_009_org_46	Dartmouth
dbl_009_org_47	Dartmouth
dbl_009_org_48	Dartmouth
dbl_009_org_49	Dartmouth
dbl_009_org_50	Mount Holyoke [College in MA]
dbl_009_org_51	Smith [College in MA]
dbl_009_org_52	Dartmouth
dbl_009_org_53	Shabazz [Center for Intellectual Inquiry]
dbl_009_org_54	Dartmouth
dbl_009_org_55	Blackout
dbl_009_org_56	Uncle Tom's Cabinet
dbl_009_org_57	Temptations
dbl_009_org_58	The Four Tops
dbl_009_org_59	Shabazz Center [for Intellectual Inquiry]
dbl_009_org_60	Dartmouth
dbl_009_org_61	Dartmouth
dbl_009_org_62	Dartmouth College
dbl_009_org_63	African American Society
dbl_009_org_64	Afro American Society
dbl_009_org_65	Afro American society
dbl_009_org_66	political action committee
dbl_009_org_67	Afro American Society
dbl_009_org_68	Political Action Committee
dbl_009_org_69	political action committee
dbl_009_org_70	political action committee
dbl_009_org_71	Dartmouth
dbl_009_org_72	Dartmouth
dbl_009_org_73	political action committee
dbl_009_org_74	Afro-American society
dbl_009_org_75	African American society
dbl_009_org_76	Afro American Society
dbl_009_org_77	Afro-American Society
dbl_009_org_78	Afro-American Society
dbl_009_org_79	Afro American Society
dbl_009_org_80	Political Action Committee
dbl_009_org_81	Dartmouth
dbl_009_org_82	Dartmouth
dbl_009_org_83	Dartmouth
dbl_009_org_84	South African government
dbl_009_org_85	South African Government
dbl_009_org_86	Dartmouth
dbl_009_org_87	Dartmouth
dbl_009_org_88	Afro American Society
dbl_009_org_89	Tucker foundation
dbl_009_org_90	Afro American Society
dbl_009_org_91	New Hampshire police
dbl_009_org_92	Hanover police
dbl_009_org_93	New Hampshire State police
dbl_009_org_94	Dartmouth
dbl_009_org_95	CBS
dbl_009_org_96	CBS
dbl_009_org_97	Dartmouth
dbl_009_org_98	the Los Angeles Times
dbl_009_org_99	The Christian Science Monitor
dbl_009_org_100	Dartmouth
dbl_009_org_101	Dartmouth
dbl_009_org_102	Rauner [Special Collections Library]
dbl_009_org_103	Dartmouth
dbl_009_org_104	Dartmouth
dbl_009_org_105	Dartmouth
dbl_009_org_106	Afro Am Society
dbl_009_org_107	Dartmouth
dbl_009_org_108	Dartmouth
dbl_009_org_109	the Afro American Society
dbl_009_org_110	Dartmouth
dbl_009_org_111	Shabazz society
dbl_009_org_112	Dartmouth
dbl_009_org_113	Afro-American Studies department
dbl_009_org_114	Dartmouth
dbl_009_org_115	Dartmouth
dbl_009_org_116	Dartmouth
dbl_009_org_117	Dartmouth
dbl_009_org_118	Dartmouth
dbl_009_org_119	African American studies department
dbl_009_org_120	class of 1969
dbl_009_org_121	class of 68
dbl_009_org_122	class of 1970
dbl_009_org_123	class of 1971
dbl_009_org_124	Dartmouth
dbl_009_org_125	Dartmouth
dbl_009_org_126	Dartmouth
dbl_009_org_127	Dartmouth
dbl_009_org_128	Dartmouth
dbl_009_org_129	Dartmouth
dbl_009_org_130	Dartmouth
dbl_009_org_131	Dartmouth
dbl_009_org_132	Afro American society
dbl_009_org_133	Afro American Society
dbl_009_org_134	Afro. American Society
dbl_009_org_135	Afro Am House
dbl_009_org_136	Dartmouth
dbl_009_org_137	Afro American society
dbl_009_org_138	Dartmouth
dbl_009_org_139	Dartmouth
dbl_009_org_140	Dartmouth
dbl_009_org_141	Dartmouth
dbl_009_org_142	Dartmouth
dbl_009_org_143	The Benjamin F Barge Speech Contest
dbl_009_org_144	Dartmouth
dbl_009_org_145	Dartmouth
