id	placeName
dbl_010_place_0	Topliff Hall
dbl_010_place_1	Hanover, New Hampshire
dbl_010_place_2	Anderson, South Carolina
dbl_010_place_3	New York City
dbl_010_place_4	New York City
dbl_010_place_5	Anderson, South Carolina
dbl_010_place_6	South Carolina
dbl_010_place_7	South Carolina
dbl_010_place_8	South Carolinian
dbl_010_place_9	New Yorker
dbl_010_place_10	South Carolina
dbl_010_place_11	New York City
dbl_010_place_12	South Carolina
dbl_010_place_13	New York City
dbl_010_place_14	Washington
dbl_010_place_15	DC
dbl_010_place_16	South Carolina
dbl_010_place_17	New York City
dbl_010_place_18	New York City
dbl_010_place_19	New York City
dbl_010_place_20	New York City
dbl_010_place_21	New York City
dbl_010_place_22	Northern Manhattan
dbl_010_place_23	South Carolina
dbl_010_place_24	Manhattan
dbl_010_place_25	Northern Manhattan
dbl_010_place_26	New York City
dbl_010_place_27	George Washington High School
dbl_010_place_28	New York City
dbl_010_place_29	George Washington high school
dbl_010_place_30	Northern Manhattan
dbl_010_place_31	Inwood
dbl_010_place_32	Inwood, NY
dbl_010_place_33	New York City
dbl_010_place_34	New York City
dbl_010_place_35	South Carolina
dbl_010_place_36	New England
dbl_010_place_37	Manhattan Island
dbl_010_place_38	Hanover
dbl_010_place_39	North Carolina
dbl_010_place_40	Asheville
dbl_010_place_41	Asheville
dbl_010_place_42	North Carolina
dbl_010_place_43	South Carolina
dbl_010_place_44	North Carolina
dbl_010_place_45	New York City
dbl_010_place_46	Topliff [Hall]
dbl_010_place_47	New Hampshire Hall
dbl_010_place_48	New Hamp
dbl_010_place_49	Moosilauke
dbl_010_place_50	New Hampshire Hall
dbl_010_place_51	Massachusetts Hall
dbl_010_place_52	New Hampshire Hall
dbl_010_place_53	Shabazz Hall
dbl_010_place_54	Shabazz Hall
dbl_010_place_55	Thayer
dbl_010_place_56	Baker
dbl_010_place_57	library
dbl_010_place_58	United States
dbl_010_place_59	Upper Valley
dbl_010_place_60	State of New Hampshire
dbl_010_place_61	New Hampshire
dbl_010_place_62	Vermont
dbl_010_place_63	Canada
dbl_010_place_64	Lord House
dbl_010_place_65	Dartmouth Hall
dbl_010_place_66	Dartmouth-Hitchcock Medical Center
dbl_010_place_67	Cutter Hall
dbl_010_place_68	Cutter Hall
dbl_010_place_69	Cutter Hall
dbl_010_place_70	Roxbury, Massachusetts
dbl_010_place_71	Boston
dbl_010_place_72	Jersey City
dbl_010_place_73	United States
dbl_010_place_74	Silsby Hall
dbl_010_place_75	Roxbury
dbl_010_place_76	the Upper Valley
dbl_010_place_77	McNutt Hall
dbl_010_place_78	Baker Library
dbl_010_place_79	Andover, Massachusetts
dbl_010_place_80	Andover High School
dbl_010_place_81	New York City
dbl_010_place_82	Hanover
dbl_010_place_83	Andover, Massachusetts
dbl_010_place_84	Andover
dbl_010_place_85	Hanover
dbl_010_place_86	Andover
dbl_010_place_87	Hanover
dbl_010_place_88	Andover
dbl_010_place_89	Hanover
dbl_010_place_90	Manhattan
dbl_010_place_91	Thayer Hall
dbl_010_place_92	Parkhurst
dbl_010_place_93	New Hampshire
dbl_010_place_94	New Hampshire
dbl_010_place_95	New Hampshire
dbl_010_place_96	the Upper Valley
dbl_010_place_97	Hopkins Center
dbl_010_place_98	Poughkeepsie, New York
dbl_010_place_99	Hanover
dbl_010_place_100	South Carolina
dbl_010_place_101	Massachusetts Hall
dbl_010_place_102	Thayer Hall
dbl_010_place_103	Thayer Hall
dbl_010_place_104	Thayer
dbl_010_place_105	Green
dbl_010_place_106	Baker Tower
dbl_010_place_107	Dartmouth Hall
dbl_010_place_108	Baker Library
dbl_010_place_109	[Dartmouth] Green
dbl_010_place_110	Green
dbl_010_place_111	Green
dbl_010_place_112	Thayer
dbl_010_place_113	Henderson, North Carolina
dbl_010_place_114	Asheville, North Carolina
dbl_010_place_115	North Carolina
dbl_010_place_116	Hendersonville
dbl_010_place_117	Hanover
dbl_010_place_118	New York City
dbl_010_place_119	Cutter Hall
dbl_010_place_120	South Carolina
dbl_010_place_121	Roxbury
dbl_010_place_122	Jersey City
dbl_010_place_123	Sierra Leone
dbl_010_place_124	West Africa
dbl_010_place_125	Caribbean
dbl_010_place_126	Roxbury Center for Inner City Change
dbl_010_place_127	America
dbl_010_place_128	America
dbl_010_place_129	South Carolina
dbl_010_place_130	South Carolina
dbl_010_place_131	South Carolina
dbl_010_place_132	South Carolina
dbl_010_place_133	South Carolina
dbl_010_place_134	South Carolina
dbl_010_place_135	South Carolina
dbl_010_place_136	Clemson
dbl_010_place_137	Clemson
dbl_010_place_138	New York City
dbl_010_place_139	South Carolina
dbl_010_place_140	Vietnam
dbl_010_place_141	New York City
dbl_010_place_142	South Bronx
dbl_010_place_143	Fort Apache
dbl_010_place_144	Fort Apache precinct
dbl_010_place_145	Bronx
dbl_010_place_146	Harlem
dbl_010_place_147	South Carolina
dbl_010_place_148	Toledo, Ohio
dbl_010_place_149	Tri-County
dbl_010_place_150	South Carolina
dbl_010_place_151	New England
