id	name	QID	dbl_id	start time	end time	point in time
dbl_016_event_1	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_2	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_3	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_4	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_5	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_6	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_7	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_8	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_9	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_10	Green Key Weekend 1967	Q117768693		1967-05-25T00:00:00Z	1967-05-28T00:00:00Z	
dbl_016_event_11	Green Key Weekend 1967	Q117768693		1967-05-25T00:00:00Z	1967-05-28T00:00:00Z	
dbl_016_event_12	Green Key Weekend 1967	Q117768693		1967-05-25T00:00:00Z	1967-05-28T00:00:00Z	
dbl_016_event_13	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_14	Green Key Weekend 1967	Q117768693		1967-05-25T00:00:00Z	1967-05-28T00:00:00Z	
dbl_016_event_15	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
dbl_016_event_16	George Wallace Protest	Q117838410				1967-05-03T00:00:00Z
