id	placeName	QID	dbl_id	coordinate location
dbl_016_place_0	Hitchcock Hall	Q100974511		"43.70469,-72.29066"
dbl_016_place_1	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_016_place_2	Massachusetts Row	Q105718813		"43.703794,-72.290354"
dbl_016_place_3	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_4	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_5	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_6	Morgan Park	Q3323994		"41.69,-87.67"
dbl_016_place_7	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_8	Morgan Park	Q3323994		"41.69,-87.67"
dbl_016_place_9	Morgan Park	Q3323994		"41.69,-87.67"
dbl_016_place_10	Morgan Park	Q3323994		"41.69,-87.67"
dbl_016_place_11	Paducah	Q984377		"37.072222222222,-88.6275"
dbl_016_place_12	Alabama	Q173		"32.7,-86.7"
dbl_016_place_13	Georgia	Q1428		"33,-83.5"
dbl_016_place_14	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_15	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_16	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_016_place_17	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_016_place_18	Russell Sage Hall	Q100707799		"43.7054,-72.29063"
dbl_016_place_19	Massachusetts Row	Q105718813		"43.703794,-72.290354"
dbl_016_place_20	Class of 1953 Commons	Q98636574		"43.70309,-72.29092"
dbl_016_place_21	Main Street	Q104906192		"43.701978, -72.289348"
dbl_016_place_22	Hitchcock Hall	Q100974511		"43.70469,-72.29066"
dbl_016_place_23	Massachusetts Row	Q105718813		"43.703794,-72.290354"
dbl_016_place_24	Shaker Heights	Q1065497		"41.476388888889,-81.551666666667"
dbl_016_place_25	Cleveland	Q37320		"41.482222222222,-81.669722222222"
dbl_016_place_26	Cleveland	Q37320		"41.482222222222,-81.669722222222"
dbl_016_place_27	New York City	Q60		"40.7,-74"
dbl_016_place_28	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_016_place_29	Boston	Q100		"42.360277777777775,-71.05777777777777"
dbl_016_place_30	New York City	Q60		"40.7,-74"
dbl_016_place_31	Smith College	Q49204		"42.3175,-72.6375"
dbl_016_place_32	Mount Holyoke	Q3321866		"42.300833333333,-72.586944444444"
dbl_016_place_33	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_016_place_34	Hanover	Q131908		"43.7,-72.28333333333333"
dbl_016_place_35	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_36	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_37	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_38	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_39	Northeastern United States	Q24460		"42,-73"
dbl_016_place_40	New Haven	Q49145		"41.308333333333,-72.925"
dbl_016_place_41	Aquinas House	Q104889608		"43.7075792,-72.2939045"
dbl_016_place_42	Fraternity Row	Q105454005		"43.706376, -72.291621

"
dbl_016_place_43	Aquinas House	Q104889608		"43.7075792,-72.2939045"
dbl_016_place_44	Boston	Q100		"42.360277777777775,-71.05777777777777"
dbl_016_place_45	New York City	Q60		"40.7,-74"
dbl_016_place_46	Northeastern United States	Q24460		"42,-73"
dbl_016_place_47	New Haven	Q49145		"41.308333333333,-72.925"
dbl_016_place_48	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_49	New Haven	Q49145		"41.308333333333,-72.925"
dbl_016_place_50	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_51	Chicago	Q1297		"41.85003,-87.65005"
dbl_016_place_52	Alabama	Q173		"32.7,-86.7"
dbl_016_place_53	New Hampshire	Q759		"44,-71.5"
dbl_016_place_54	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_55	Iowa	Q1546		"42,-93"
dbl_016_place_56	New Hampshire	Q759		"44,-71.5"
dbl_016_place_57	Webster Hall	Q105045865		"43.704469,72.288169"
dbl_016_place_58	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_59	United States of America	Q30		"39.828175,-98.5795"
dbl_016_place_61	Webster Hall	Q105045865		"43.704469,72.288169"
dbl_016_place_62	Webster Hall	Q105045865		"43.704469,72.288169"
dbl_016_place_63	Webster Hall	Q105045865		"43.704469,72.288169"
dbl_016_place_64	Illinois	Q1204		"40.000277777777775,-89.25027777777778"
dbl_016_place_65	Illinois	Q1204		"40.000277777777775,-89.25027777777778"
dbl_016_place_66	Webster Hall	Q105045865		"43.704469,72.288169"
