id	orgName
dbl_019_org_0	Dartmouth College
dbl_019_org_1	Dartmouth Black Lives Oral History Project
dbl_019_org_2	the Department of the Army
dbl_019_org_3	Dartmouth
dbl_019_org_4	Marist Brothers High School
dbl_019_org_5	Dartmouth
dbl_019_org_6	Dartmouth
dbl_019_org_7	Tokyo Metropolitan
dbl_019_org_8	Dartmouth
dbl_019_org_9	Little League
dbl_019_org_10	Rockefeller University
dbl_019_org_11	'64
dbl_019_org_12	65
dbl_019_org_13	Dartmouth
dbl_019_org_14	Ivy League
dbl_019_org_15	Ivy League
dbl_019_org_16	Princeton
dbl_019_org_17	NCAA
dbl_019_org_18	UCLA
dbl_019_org_19	UCLA
dbl_019_org_20	UCLA
dbl_019_org_21	the Scholarship Service for Negro Students
dbl_019_org_22	the National Scholarship Service
dbl_019_org_23	SAT
dbl_019_org_24	National Merit
dbl_019_org_25	National Achievement
dbl_019_org_26	The National Scholarship Service for Negro Students
dbl_019_org_27	Johns Hopkins University
dbl_019_org_28	Dartmouth
dbl_019_org_29	Brown
dbl_019_org_30	Princeton
dbl_019_org_31	National Achievement Scholars
dbl_019_org_32	National Achievement Scholars
dbl_019_org_33	Johns Hopkins
dbl_019_org_34	Dartmouth
dbl_019_org_35	Princeton
dbl_019_org_36	Brown
dbl_019_org_37	Johns Hopkins
dbl_019_org_38	Dartmouth
dbl_019_org_39	Princeton
dbl_019_org_40	Brown
dbl_019_org_41	Johns Hopkins
dbl_019_org_42	Princeton
dbl_019_org_43	Brown
dbl_019_org_44	class of ‘70
dbl_019_org_45	Dartmouth
dbl_019_org_46	Johns Hopkins
dbl_019_org_47	Morgan
dbl_019_org_48	Howard
dbl_019_org_49	Dartmouth
dbl_019_org_50	Dandre
dbl_019_org_51	Dartmouth
dbl_019_org_52	Dartmouth
dbl_019_org_53	class of '69
dbl_019_org_54	The National Scholarship Service for Negro Students
dbl_019_org_55	Dartmouth
dbl_019_org_56	Amherst
dbl_019_org_57	Harvard
dbl_019_org_58	Colombia
dbl_019_org_59	Yale
dbl_019_org_60	NAACP
dbl_019_org_61	Dartmouth
dbl_019_org_62	Dartmouth
dbl_019_org_63	Dartmouth Afro-American society
dbl_019_org_64	Dartmouth
dbl_019_org_65	Alabama state
dbl_019_org_66	CBS
dbl_019_org_67	Dartmouth
dbl_019_org_68	Afro-American society
dbl_019_org_69	Dartmouth
dbl_019_org_70	the Daily D
dbl_019_org_71	WDCR
dbl_019_org_72	Dartmouth
dbl_019_org_73	class of '71
dbl_019_org_74	Afro-Aam
dbl_019_org_75	class of '70,
dbl_019_org_76	class of '70
dbl_019_org_77	Afro-Aam
dbl_019_org_78	the daily Dartmouth
dbl_019_org_79	Daily Dartmouth
dbl_019_org_80	Daily Dartmouth
dbl_019_org_81	Afro-Aam
dbl_019_org_82	Dartmouth
dbl_019_org_83	Dartmouth
dbl_019_org_84	Dartmouth
dbl_019_org_85	Dartmouth
dbl_019_org_86	Dartmouth
dbl_019_org_87	Class of '73
dbl_019_org_88	Cornell
dbl_019_org_89	Time Magazine
dbl_019_org_90	Afro-Aam
dbl_019_org_91	the Democratic Society
dbl_019_org_92	Afro-Aam
dbl_019_org_93	Hanover High School
dbl_019_org_94	WDCR
dbl_019_org_95	WDCR
dbl_019_org_96	Hanover
dbl_019_org_97	Dartmouth
dbl_019_org_98	Dartmouth
dbl_019_org_99	Harvard
dbl_019_org_100	Yale
dbl_019_org_101	Columbia
dbl_019_org_102	Stanford
dbl_019_org_103	Berkeley Law
dbl_019_org_104	Berkeley's law school
dbl_019_org_105	Columbia 's law school
dbl_019_org_106	Harvard's Law School
dbl_019_org_107	Yale
dbl_019_org_108	Stanford
dbl_019_org_109	Stanford
dbl_019_org_110	Berkeley
dbl_019_org_111	Columbia Law School
dbl_019_org_112	Columbia
dbl_019_org_113	Harvard
dbl_019_org_114	Harvard Law School
dbl_019_org_115	Harvard Law School
dbl_019_org_116	Harvard Law School
dbl_019_org_117	Sports Illustrated
dbl_019_org_118	Harvard Law School
dbl_019_org_119	Howard Law School
dbl_019_org_120	Fisk University
dbl_019_org_121	Marine
dbl_019_org_122	the Nixon Administration
dbl_019_org_123	Dartmouth
dbl_019_org_124	the D
dbl_019_org_125	Daily D
dbl_019_org_126	the Columbia School of International Affairs
dbl_019_org_127	New York State governor's office
dbl_019_org_128	University of New York
dbl_019_org_129	Dartmouth
dbl_019_org_130	Dartmouth
dbl_019_org_131	20th Century Fox
dbl_019_org_132	Boone's Farm
dbl_019_org_133	state department
dbl_019_org_134	Dartmouth
dbl_019_org_135	Dartmouth
dbl_019_org_136	Dartmouth
dbl_019_org_137	BADA
dbl_019_org_138	the Supreme Court
dbl_019_org_139	Senate
dbl_019_org_140	House
dbl_019_org_141	Presidency
dbl_019_org_142	Dartmouth
dbl_019_org_143	Board of Trustees
dbl_019_org_144	Dartmouth
dbl_019_org_145	Que
dbl_019_org_146	Alpha
dbl_019_org_147	Gamma
dbl_019_org_148	Delta
dbl_019_org_149	Dartmouth
dbl_019_org_150	Dartmouth
dbl_019_org_151	the Black Arts Festival
dbl_019_org_152	Dartmouth
dbl_019_org_153	Dartmouth
dbl_019_org_154	alpha
dbl_019_org_155	que
dbl_019_org_156	Delta
dbl_019_org_157	AKA
dbl_019_org_158	the Rockefeller Center
dbl_019_org_159	Dartmouth College
dbl_019_org_160	Dartmouth
dbl_019_org_161	Afro-Aam
dbl_019_org_162	Dartmouth
dbl_019_org_163	HBCU
dbl_019_org_164	Dartmouth
