id	placeName	QID	dbl_id	coordinate location
dbl_022_place_0	Silsby Hall	Q115199022		43.70553701779016,-72.29006194232883
dbl_022_place_1	Hanover	Q131908		43.7,-72.28333333333333
dbl_022_place_2	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_3	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_4	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_5	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_6	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_7	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_8	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_9	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_10	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_11	Pearl River County	Q485392		30.77,-89.59
dbl_022_place_12	Birmingham	Q79867		33.5175,-86.80944444444444
dbl_022_place_13	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_14	Birmingham	Q79867		33.5175,-86.80944444444444
dbl_022_place_15	Meridian	Q118152		32.36430555555555,-88.70366666666666
dbl_022_place_16	New York City	Q60		40.7,-74
dbl_022_place_17	Mississippi	Q1494		33,-90
dbl_022_place_18	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_19	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_20	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_21	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_22	Evansville	Q486459		37.974722222222,-87.555833333333
dbl_022_place_23	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_24	Kentucky	Q1603		37.5,-85
dbl_022_place_25	Frankfort	Q28603		38.197,-84.863
dbl_022_place_26	Kentucky	Q1603		37.5,-85
dbl_022_place_27	Virginia	Q1370		37.5,-79
dbl_022_place_29	Amsterdam	Q727		52.37277777777778,4.893611111111111
dbl_022_place_30	Albany	Q24861		42.65,-73.766666666667
dbl_022_place_31	Schenectady	Q331380		42.804166666667,-73.929166666667
dbl_022_place_32	Troy	Q600301		42.731666666667,-73.6925
dbl_022_place_33	Nashville	Q23197		36.16222222222222,-86.77444444444444
dbl_022_place_34	Nashville	Q23197		36.16222222222222,-86.77444444444444
dbl_022_place_35	Memphis	Q16563		35.1175,-89.971111111111
dbl_022_place_36	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_37	Natchez	Q944044		31.560416666666665,-91.40316666666666
dbl_022_place_38	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_39	Montgomery	Q29364		32.361666666667,-86.279166666667
dbl_022_place_40	New Orleans	Q34404		29.95465,-90.07507
dbl_022_place_41	Jackson State University	Q1747601		32.296111111111,-90.207777777778
dbl_022_place_42	George Washington Carver Library	Q117769295		43.3442121,-80.990728
dbl_022_place_43	Massachusetts	Q771		42.3,-71.8
dbl_022_place_44	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_45	Mississippi	Q1494		33,-90
dbl_022_place_46	Mississippi	Q1494		33,-90
dbl_022_place_47	Kentucky	Q1603		37.5,-85
dbl_022_place_48	Mississippi	Q1494		33,-90
dbl_022_place_49	Kentucky	Q1603		37.5,-85
dbl_022_place_50	Frankfort	Q28603		38.197,-84.863
dbl_022_place_51	Mississippi	Q1494		33,-90
dbl_022_place_52	Memphis	Q16563		35.1175,-89.971111111111
dbl_022_place_53	Frankfort	Q28603		38.197,-84.863
dbl_022_place_54	Mississippi	Q1494		33,-90
dbl_022_place_55	Cuba	Q241		22,-79.5
dbl_022_place_56	Mississippi	Q1494		33,-90
dbl_022_place_57	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_58	Kentucky	Q1603		37.5,-85
dbl_022_place_59	New York City	Q60		40.7,-74
dbl_022_place_60	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_61	Bloomington	Q490385		39.162222222222,-86.529166666667
dbl_022_place_62	Indiana University Bloomington	Q1079140		39.167222,-86.521389
dbl_022_place_63	Iowa	Q1546		42,-93
dbl_022_place_64	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_65	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_66	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_67	Western Massachusetts	Q65122136		42.333333333333336,-72.83333333333333
dbl_022_place_68	Wilbraham & Monson Academy	Q8000134		42.1225,-72.4316
dbl_022_place_69	Springfield	Q49158		42.112411,-72.547455
dbl_022_place_70	Stratford	Q755140		41.204444444444,-73.129722222222
dbl_022_place_71	Stratford	Q755140		41.204444444444,-73.129722222222
dbl_022_place_72	Virginia	Q1370		37.5,-79
dbl_022_place_73	United States of America	Q30		39.828175,-98.5795
dbl_022_place_74	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dbl_022_place_75	Orangeburg	Q2276157		33.496944444444,-80.862222222222
dbl_022_place_76	Boston	Q100		42.360277777777775,-71.05777777777777
dbl_022_place_77	Boston	Q100		42.360277777777775,-71.05777777777777
dbl_022_place_78	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_80	Mississippi	Q1494		33,-90
dbl_022_place_81	Montgomery	Q29364		32.361666666667,-86.279166666667
dbl_022_place_82	Birmingham	Q79867		33.5175,-86.80944444444444
dbl_022_place_83	Atlanta	Q23556		33.756944444444,-84.390277777778
dbl_022_place_84	LaGuardia Airport	Q319654		40.775,-73.875
dbl_022_place_85	Bradley Field	Q61669895		35.620139166667,-80.5975
dbl_022_place_86	Hartford	Q33486		41.763333333333,-72.685
dbl_022_place_87	Springfield	Q49158		42.112411,-72.547455
dbl_022_place_88	New England	Q18389		44.205555555556,-70.306425
dbl_022_place_89	Texas	Q1439		31,-100
dbl_022_place_90	New Hampshire	Q759		44,-71.5
dbl_022_place_93	Western Massachusetts	Q65122136		42.333333333333336,-72.83333333333333
dbl_022_place_94	Mississippi	Q1494		33,-90
dbl_022_place_95	United States of America	Q30		39.828175,-98.5795
dbl_022_place_96	Albany	Q24861		42.65,-73.766666666667
dbl_022_place_97	New York State Thruway	Q736574		42.95859788888889,-76.90872019444444
dbl_022_place_98	Herkimer	Q3134036		43.0261,-74.9903
dbl_022_place_99	Mississippi	Q1494		33,-90
dbl_022_place_100	Amsterdam	Q727		52.37277777777778,4.893611111111111
dbl_022_place_101	New York State Thruway	Q736574		42.95859788888889,-76.90872019444444
dbl_022_place_102	United States of America	Q30		39.828175,-98.5795
dbl_022_place_103	Hollywood	Q34006		34.098333333333336,-118.32666666666667
dbl_022_place_104	Class of 1953 Commons	Q98636574		43.70309,-72.29092
dbl_022_place_105	Class of 1953 Commons	Q98636574		43.70309,-72.29092
dbl_022_place_106	Class of 1953 Commons	Q98636574		43.70309,-72.29092
dbl_022_place_107	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_108	Texas	Q1439		31,-100
dbl_022_place_109	Baltimore	Q5092		39.286388888889,-76.615
dbl_022_place_110	Wilmington	Q659400		34.223333333333,-77.912222222222
dbl_022_place_111	Philadelphia	Q1345		39.952777777778,-75.163611111111
dbl_022_place_112	Toronto	Q172		43.670277777778,-79.386666666667
dbl_022_place_113	Texas	Q1439		31,-100
dbl_022_place_114	Class of 1953 Commons	Q98636574		43.70309,-72.29092
dbl_022_place_115	Hong Kong	Q8646		22.278333333333,114.15861111111
dbl_022_place_116	Pittsburgh	Q1342		40.44166666666667,-80
dbl_022_place_117	Pittsburgh	Q1342		40.44166666666667,-80
dbl_022_place_118	Birmingham	Q79867		33.5175,-86.80944444444444
dbl_022_place_119	Brooklyn	Q18419		40.692777777778,-73.990277777778
dbl_022_place_120	Princeton University	Q21578		40.345277777778,-74.656111111111
dbl_022_place_121	Greenville	Q988112		33.3986,-91.0483
dbl_022_place_122	Memphis	Q16563		35.1175,-89.971111111111
dbl_022_place_123	Texas	Q1439		31,-100
dbl_022_place_124	Fort Hood	Q783854		31.139722222222222,-97.76583333333333
dbl_022_place_125	Texas	Q1439		31,-100
dbl_022_place_126	Germany	Q183		51,10
dbl_022_place_127	Wisconsin	Q1537		44.5,-89.5
dbl_022_place_128	Mississippi	Q1494		33,-90
dbl_022_place_129	United States of America	Q30		39.828175,-98.5795
dbl_022_place_130	Vietnam	Q881		16,108
dbl_022_place_131	Cambodia	Q424		12.6,105
dbl_022_place_132	Laos	Q819		18.2,104.1
dbl_022_place_133	Richmond	Q495377		37.935833333333,-122.34777777778
dbl_022_place_134	Berkeley	Q484678		37.870277777778,-122.26805555556
dbl_022_place_135	San Francisco	Q62		37.7775,-122.41638888888889
dbl_022_place_136	Oakland	Q17042		37.8,-122.25
dbl_022_place_137	New Hampshire	Q759		44,-71.5
dbl_022_place_138	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_139	Vietnam	Q881		16,108
dbl_022_place_140	Vietnam	Q881		16,108
dbl_022_place_141	Boston	Q100		42.360277777777775,-71.05777777777777
dbl_022_place_142	Baltimore	Q5092		39.286388888889,-76.615
dbl_022_place_143	Louisville	Q43668		38.25611111111111,-85.75138888888888
dbl_022_place_144	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_145	Nashville	Q23197		36.16222222222222,-86.77444444444444
dbl_022_place_146	Jackson	Q28198		32.298888888889,-90.184722222222
dbl_022_place_147	El-Hajj Malik El-Shabazz Center	Q104931609		43.70678140394604,-72.2898819546128
dbl_022_place_148	El-Hajj Malik El-Shabazz Center	Q104931609		43.70678140394604,-72.2898819546128
dbl_022_place_149	Connecticut River	Q379648		45.2375,-71.2
dbl_022_place_150	Green Mountains	Q41507		44.791666666667,-72.582777777778
dbl_022_place_151	White Mountains	Q1433957		37.58,-118.27
dbl_022_place_152	Nashville	Q23197		36.16222222222222,-86.77444444444444
dbl_022_place_153	Nashville	Q23197		36.16222222222222,-86.77444444444444
dbl_022_place_154	United States of America	Q30		39.828175,-98.5795
dbl_022_place_155	Harvard Stadium	Q1587879		42.366389,-71.127222
dbl_022_place_156	Cambridge	Q49111		42.375,-71.106111111111
dbl_022_place_157	Indiana	Q1415		39.933333333333,-86.216666666667
dbl_022_place_158	Pittsburgh	Q1342		40.44166666666667,-80
dbl_022_place_159	Georgia	Q1428		33,-83.5
dbl_022_place_160	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_161	Georgia	Q1428		33,-83.5
dbl_022_place_162	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_163	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_164	United States of America	Q30		39.828175,-98.5795
dbl_022_place_165	Atlanta	Q23556		33.756944444444,-84.390277777778
dbl_022_place_166	Pasadena	Q485176		34.156111111111,-118.13194444444
dbl_022_place_167	Siberia	Q5428		60,105
dbl_022_place_168	New Haven	Q49145		41.308333333333,-72.925
dbl_022_place_169	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_170	Germany	Q183		51,10
dbl_022_place_171	São Paulo	Q174		-23.550394444444,-46.633947222222
dbl_022_place_172	Moscow	Q649		55.755833333333,37.617777777778
dbl_022_place_173	Shenzhen	Q15174		22.535,114.054
dbl_022_place_174	Mexico City	Q1489		19.419444444444,-99.145555555556
dbl_022_place_175	Spain	Q29		40.2,-3.5
dbl_022_place_176	Barcelona	Q1492		41.3825,2.1769444444444
dbl_022_place_177	Dan River	Q1159151		36.6561,-78.5986
dbl_022_place_178	North Carolina	Q1454		35.5,-80
dbl_022_place_179	New Orleans	Q34404		29.95465,-90.07507
dbl_022_place_180	Puerto Rico	Q1183		18.25,-66.5
dbl_022_place_181	Chicago	Q1297		41.85003,-87.65005
dbl_022_place_182	Atlanta	Q23556		33.756944444444,-84.390277777778
dbl_022_place_183	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_022_place_184	Dallas	Q16557		32.779166666667,-96.808888888889
dbl_022_place_185	Dallas	Q16557		32.779166666667,-96.808888888889
dbl_022_place_187	New Orleans	Q34404		29.95465,-90.07507
dbl_022_place_188	North Carolina	Q1454		35.5,-80
dbl_022_place_189	California	Q99		37,-120
dbl_022_place_190	Memphis	Q16563		35.1175,-89.971111111111
dbl_022_place_191	United States of America	Q30		39.828175,-98.5795
dbl_022_place_192	Mississippi River	Q1497		47.2397,-95.2075
dbl_022_place_193	Illinois	Q1204		40.000277777777775,-89.25027777777778
dbl_022_place_194	Iowa	Q1546		42,-93
dbl_022_place_195	United States of America	Q30		39.828175,-98.5795
dbl_022_place_196	Europe	Q46		48.690959,9.14062
dbl_022_place_197	Southeast Asia	Q11708		12,105.1
dbl_022_place_198	California	Q99		37,-120
dbl_022_place_199	Texas	Q1439		31,-100
dbl_022_place_200	Accra	Q3761		5.533333333333333,-0.21666666666666667
dbl_022_place_201	Beijing	Q956		39.90403,116.407526
dbl_022_place_202	Berlin	Q64		52.516666666667,13.383333333333
dbl_022_place_203	Kyiv	Q1899		50.45,30.523611111111
dbl_022_place_204	Moscow	Q649		55.755833333333,37.617777777778
