id	placeName	QID	dbl_id	coordinate location
dbl_027_place_0	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dbl_027_place_1	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_2	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_3	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_4	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_5	India	Q668		22.8,83
dbl_027_place_6	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_7	India	Q668		22.8,83
dbl_027_place_8	India	Q668		22.8,83
dbl_027_place_9	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_10	Massachusetts	Q771		42.3,-71.8
dbl_027_place_11	Massachusetts	Q771		42.3,-71.8
dbl_027_place_12	Dartmouth Hall	Q105669850		43.70376,-72.28706
dbl_027_place_13	Boston	Q100		42.360277777777775,-71.05777777777777
dbl_027_place_14	Mississippi	Q1494		33,-90
dbl_027_place_15	New Hampshire	Q759		44,-71.5
dbl_027_place_16	West Virginia	Q1371		39,-80.5
dbl_027_place_17	Thailand	Q869		14,101
dbl_027_place_18	Bangkok	Q1861		13.75,100.51666666667
dbl_027_place_19	United States of America	Q30		39.828175,-98.5795
dbl_027_place_20	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_22	New York City	Q60		40.7,-74
dbl_027_place_23	Boston	Q100		42.360277777777775,-71.05777777777777
dbl_027_place_24	Los Angeles	Q65		34.05223,-118.24368
dbl_027_place_25	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_26	California	Q99		37,-120
dbl_027_place_27	Washington, D.C.	Q61		38.895,-77.036666666667
dbl_027_place_28	Washington, D.C.	Q61		38.895,-77.036666666667
