id	persName
dbl_023_person_0	Vachon Raye
dbl_023_person_1	Willie Bogan
dbl_023_person_2	Willie Bogan
dbl_023_person_3	Bob Blackman
dbl_023_person_4	Bob Blackman
dbl_023_person_5	Faust
dbl_023_person_6	Mullencamp
dbl_023_person_7	Lee Corso
dbl_023_person_8	Vachon
dbl_023_person_9	Henry Paulson ‘68
dbl_023_person_10	Vachon
dbl_023_person_11	Roy Wilkins
dbl_023_person_12	William Shockley
dbl_023_person_13	William Shockley
dbl_023_person_14	George Wallace
dbl_023_person_15	Malcom X
dbl_023_person_16	Martin Luther King
dbl_023_person_17	Martin Luther King
dbl_023_person_18	Martin Luther King
dbl_023_person_19	Malcom X
dbl_023_person_20	Martin Luther King
dbl_023_person_21	William Shockley
dbl_023_person_22	George Wallace
dbl_023_person_23	Errol Hill
dbl_023_person_24	Errol Hill
dbl_023_person_25	Joe Paterno
dbl_023_person_26	Bob Blackman
dbl_023_person_27	Blackman
dbl_023_person_28	Paterno
dbl_023_person_29	killer B
dbl_023_person_30	Martin Luther King
